,US,UK,Canada,Australia
1875-12-31,0.09156276937955973,,,
1876-12-31,0.09791224270966928,,,
1877-12-31,0.10684775981330025,,,
1878-12-31,0.11292391144376931,,,
1879-12-31,0.13373841010869794,,,
1880-12-31,0.141580640413767,,,
1881-12-31,0.14563841641612177,,,
1882-12-31,0.15144124634695033,,,
1883-12-31,0.14809831171288607,,,
1884-12-31,0.15091562769379557,,,
1885-12-31,0.1542165128356075,,,
1886-12-31,0.16237411433256943,,,
1887-12-31,0.165527826251498,,,
1888-12-31,0.16338330214662655,,,
1889-12-31,0.16922818156970754,,,
1890-12-31,0.1826209448520909,,,
1891-12-31,0.19717006917141475,,,
1892-12-31,0.20648403170531712,,,
1893-12-31,0.18043437125496709,,,
1894-12-31,0.19979816243718856,,,
1895-12-31,0.21935117633454576,,,
1896-12-31,0.20406618590080525,,,
1897-12-31,0.23530895864432436,,,
1898-12-31,0.23141938061097908,,,
1899-12-31,0.2596135651662006,,,
1900-12-31,0.26112734688728634,,,
1901-12-31,0.29625969766415067,,,
1902-12-31,0.2949141139120745,,,
1903-12-31,0.30229379980236737,,,
1904-12-31,0.30961041145428164,,,
1905-12-31,0.34106343165906267,,,
1906-12-31,0.37503942139898655,,,
1907-12-31,0.35203834913693416,,,
1908-12-31,0.35189117591405084,,,
1909-12-31,0.3935832474822866,,,
1910-12-31,0.39087105523200805,,,
1911-12-31,0.40865799045476525,,,
1912-12-31,0.4315329142400605,,,
1913-12-31,0.4244896242877867,,,
1914-12-31,0.3933940247671509,,,
1915-12-31,0.42640287618527,,,
1916-12-31,0.4386603031768391,,,
1917-12-31,0.46191367239240577,,,
1918-12-31,0.5137396715934655,,,
1919-12-31,0.4823707503731892,,,
1920-12-31,0.4222189517061581,,,
1921-12-31,0.43945924352963434,,,
1922-12-31,0.5093665243992178,,,
1923-12-31,0.5334188339675798,,,
1924-12-31,0.5521098332737632,,,
1925-12-31,0.5985745222126442,,,
1926-12-31,0.623825242310199,,,
1927-12-31,0.6038307087441919,,,
1928-12-31,0.6366293127010492,,,
1929-12-31,0.6485082942623467,,,
1930-12-31,0.563673443643168,,,
1931-12-31,0.5238105249879107,,,
1932-12-31,0.4606942371170868,,,
1933-12-31,0.4668544877320606,,,
1934-12-31,0.4986228791287345,,,
1935-12-31,0.5772974791329394,,,
1936-12-31,0.6550890397998443,,,
1937-12-31,0.6190946744318062,,,
1938-12-31,0.6630153690894183,,,
1939-12-31,0.714757269305973,,,
1940-12-31,0.7643336206715304,,,
1941-12-31,0.8964531253285115,,,
1942-12-31,1.0359312911296596,,,
1943-12-31,1.1659272964278955,,,
1944-12-31,1.2271303324012361,,,
1945-12-31,1.0706641717301262,,,
1946-12-31,0.9960052982360238,,,
1947-12-31,1.0,,,
1948-12-31,1.0428870184922832,,,
1949-12-31,1.0276389309297036,,,
1950-12-31,1.1642298213608249,,,
1951-12-31,1.2306357643094485,,,
1952-12-31,1.2902074628136324,,,
1953-12-31,1.298037173383479,,,
1954-12-31,1.3257103348283574,,,
1955-12-31,1.41288550737477,,,
1956-12-31,1.4364606290157764,,,
1957-12-31,1.4396182397038852,,,
1958-12-31,1.4834714454547837,,,
1959-12-31,1.544663293602576,,,1.0
1960-12-31,1.5553801760293318,,,1.1073711593674158
1961-12-31,1.654961094826094,,1.0,1.1030407816886887
1962-12-31,1.7217532241255085,,1.0690182707322728,1.186015893913678
1963-12-31,1.8092985101447743,,1.1342419855041401,1.2734958678996875
1964-12-31,1.896709317329846,,1.1851841726555767,1.3481116063639103
1965-12-31,2.051878479651391,,1.281781319849355,1.380026331234237
1966-12-31,2.1408047220735336,,1.3500067798982578,1.4437447456497945
1967-12-31,2.203478231985585,,1.3858877511296186,1.5393461605570802
1968-12-31,2.3048386338382763,,1.4750762191788012,1.6651650460796599
1969-12-31,2.343941939299338,,1.539586951101624,1.7538664086417208
1970-12-31,2.340959190642293,,1.5682615466041459,1.8311628570975367
1971-12-31,2.4468344195246354,,1.6673388243219007,1.9135827926970481
1972-12-31,2.6166641175129306,,1.7538918803063637,1.9432926732547626
1973-12-31,2.7244540520565392,,1.8599174602063713,2.067794997065495
1974-12-31,2.659782823716812,,1.8837673926260952,2.0524403978237076
1975-12-31,2.7230544401362202,1.0,1.9544040906844198,2.0705391558142856
1976-12-31,2.8421253091119607,1.0486254571233529,2.044543931553646,2.2053043161017083
1977-12-31,2.9947063784989725,1.06688858685777,2.128924139499687,2.207842266389607
1978-12-31,3.1808950185886706,1.1139262374408136,2.2013214240410814,2.294703614992941
1979-12-31,3.2239815025596528,1.145264730399954,2.280178201970982,2.3865615532255764
1980-12-31,3.211264382742896,1.0984389737178881,2.3244225057629135,2.457814507558333
1981-12-31,3.2574110272342285,1.1125357885444231,2.3698860977092693,2.5455958631410307
1982-12-31,3.2095248758395876,1.137437515060401,2.2734453255882108,2.4904430309471315
1983-12-31,3.438977101484916,1.1911596075434228,2.4132993171986334,2.5718160620528847
1984-12-31,3.770526056791416,1.220257839655021,2.5531784600445286,2.7074377805624734
1985-12-31,3.928219583877136,1.2604545040312953,2.673636474977801,2.8382532557143536
1986-12-31,4.042453518294118,1.3130997953183188,2.6719852416924375,2.9068096378662185
1987-12-31,4.223515785010319,1.3930184593692048,2.8474019867288956,3.0964738353187506
1988-12-31,4.383965926706826,1.460392333578027,2.9350945030334574,3.1869517630823405
1989-12-31,4.50425332651271,1.4793627081270537,2.98419955646343,3.305965769395492
1990-12-31,4.531407609403903,1.476258658158111,2.9520879899570023,3.3371349713687484
1991-12-31,4.584266630618505,1.4694327672952106,2.932845107756641,3.3049981758482305
1992-12-31,4.7851761335234295,1.487442630704712,2.9711537199770794,3.4574020906365495
1993-12-31,4.909955127818613,1.5275638183616407,3.0592978649881677,3.5709436416414193
1994-12-31,5.1120452728605965,1.5910190531193966,3.213286850934095,3.7397649223545835
1995-12-31,5.224488793624921,1.6171602750930738,3.262052909451178,3.840045683105182
1996-12-31,5.455479871704851,1.6733971400473322,3.3421267884715484,3.9969861840331204
1997-12-31,5.700304594001094,1.7528143032296766,3.4985456024705073,4.207176054439033
1998-12-31,5.9784532809986635,1.815125646374238,3.6309067129741006,4.420506638326222
1999-12-31,6.267070684869693,1.887861722177464,3.8392737635433933,4.5964817664134
2000-12-31,6.448917290863931,1.9247491517255373,3.9940216606814016,4.652903573751249
2001-12-31,6.459921867554126,1.9851031319484007,4.047810311569131,4.854321653474613
2002-12-31,6.5885573992418225,2.03187186177585,4.190726192715327,5.030931269133766
2003-12-31,6.871540981119452,2.108647339781095,4.252563238954234,5.234427295655347
2004-12-31,7.102133811295653,2.1329933340079648,4.416735194670562,5.39173262693717
2005-12-31,7.313967171535438,2.2283265804964802,4.562926204088059,5.5603476991894425
2006-12-31,7.504781406150621,2.2572951044681657,4.633555247422545,5.734213156099805
2007-12-31,7.666950967367986,2.3207419529237723,4.733515005445789,5.941785765271323
2008-12-31,7.472184401908478,2.2368286136156645,4.73768354934235,6.0365782085243405
2009-12-31,7.4782860071538755,2.2051172097542757,4.654354225626266,6.202576019542217
2010-12-31,7.686814250175542,2.259232340264705,4.821998145369767,6.371286264930285
2011-12-31,7.8038607192386324,2.2799459474872124,4.973908327027298,6.591865869327284
2012-12-31,7.926074199565478,2.315284706571674,5.010470568680369,6.776358993068223
2013-12-31,8.12676634372441,2.383383716373025,5.180047852959316,6.943625779230049
2014-12-31,8.335117101416577,2.445194676822665,5.322695818771132,7.087416525228812
2015-12-31,8.491374212986287,2.5026889280125415,5.301678134172,7.278365560014593
2016-12-31,8.661556385873531,2.541795373109378,5.389338938049226,7.47670637501388
2017-12-31,8.903588023970732,2.5818679202138397,5.5554978413678775,7.652158050854179
2018-12-31,9.109490942899324,2.613356248438051,5.706485082036768,7.830798026743651
2019-12-31,9.343844517016224,2.6449703711945056,5.804487417821072,8.014894595752105
2020-12-31,9.202133908547887,2.41761492448694,5.626728327289746,7.959852798883301
